annotation,(Intercept),host_type_2domestic,host_type_2wild,species
K00145,0.08917996306174304,0.0014638079636352867,0.0011671537094258087,akkermansia_muciniphila
K00147,0.08917996306174304,0.0014638079636352867,0.0011671537094258087,akkermansia_muciniphila
K00156,0.08917996306174304,0.0014638079636352867,0.0011671537094258087,akkermansia_muciniphila
K00164,0.08917996306174304,0.0014638079636352867,0.0011671537094258087,akkermansia_muciniphila
K00185,-5.211361693183399,-2.8665070792125493,0.19267761960786708,akkermansia_muciniphila
K00208,0.08917996306174304,0.0014638079636352867,0.0011671537094258087,akkermansia_muciniphila
K00215,-5.954226327506679,-2.252290735621108,-2.2539996511863465,akkermansia_muciniphila
K00220,-12.126369527807428,2.057785524494022,1.3207700730476377,akkermansia_muciniphila
K00239,0.08917996306174304,0.0014638079636352867,0.0011671537094258087,akkermansia_muciniphila
K00240,0.08917996306174304,0.0014638079636352867,0.0011671537094258087,akkermansia_muciniphila
K00241,0.08917996306174304,0.0014638079636352867,0.0011671537094258087,akkermansia_muciniphila
K00254,0.08917996306174304,0.0014638079636352867,0.0011671537094258087,akkermansia_muciniphila
K00262,0.08917996306174304,0.0014638079636352867,0.0011671537094258087,akkermansia_muciniphila
K00265,0.08917996306174304,0.0014638079636352867,0.0011671537094258087,akkermansia_muciniphila
K00275,-6.316884328311557,0.5226205007776785,0.4489175964216457,akkermansia_muciniphila
K00278,0.08917996306174304,0.0014638079636352867,0.0011671537094258087,akkermansia_muciniphila
K00281,0.08917996306174304,0.0014638079636352867,0.0011671537094258087,akkermansia_muciniphila
K00286,0.08917996306174304,0.0014638079636352867,0.0011671537094258087,akkermansia_muciniphila
K00287,-6.316884328311557,0.5226205007776785,0.4489175964216457,akkermansia_muciniphila
K00297,0.08917996306174304,0.0014638079636352867,0.0011671537094258087,akkermansia_muciniphila
K00330,0.08917996306174304,0.0014638079636352867,0.0011671537094258087,akkermansia_muciniphila
K00331,-5.335372232522313,0.2564924519259837,-2.747331379617772,akkermansia_muciniphila
K00332,-5.335372232522313,0.2564924519259837,-2.747331379617772,akkermansia_muciniphila
K00333,0.08917996306174304,0.0014638079636352867,0.0011671537094258087,akkermansia_muciniphila
K00334,0.08917996306174304,0.0014638079636352867,0.0011671537094258087,akkermansia_muciniphila
K00335,0.08917996306174304,0.0014638079636352867,0.0011671537094258087,akkermansia_muciniphila
K00336,0.08917996306174304,0.0014638079636352867,0.0011671537094258087,akkermansia_muciniphila
K00337,0.08917996306174304,0.0014638079636352867,0.0011671537094258087,akkermansia_muciniphila
K00338,0.08917996306174304,0.0014638079636352867,0.0011671537094258087,akkermansia_muciniphila
